,2014,2012,2011,2010,2009,2008,2005,2000,1990,1970
Turkmenistan,10.3,11.1,14.7,9.2,6.1,14.7,13.0,5.5,35.4,
Ethiopia,10.3,8.6,11.2,12.6,8.8,10.8,11.8,6.1,2.7,
"Congo, Dem. Rep.",9.0,7.2,6.9,7.1,2.9,6.2,6.1,-6.9,-6.6,-.2
Cote d'Ivoire,8.5,10.7,-4.4,2.0,3.3,2.5,1.7,-2.1,-1.1,10.4
Papua New Guinea,8.5,8.1,10.7,7.7,6.1,6.6,6.3,-2.5,-3.0,10.8
Myanmar,8.5,,,,,,,13.7,2.8,5.0
Uzbekistan,8.1,8.2,8.3,8.5,8.1,9.4,7.0,3.8,1.6,
Palau,8.0,4.6,8.3,1.8,-10.7,-4.7,2.5,-5.5,,
Mongolia,7.8,12.3,17.3,6.4,-1.3,8.9,7.3,1.1,-3.2,
Lao PDR,7.5,8.0,8.0,8.5,7.5,7.8,7.1,5.8,6.7,
Dominican Republic,7.3,2.6,2.8,8.3,.9,3.1,9.3,5.7,-5.5,18.2
Chad,7.3,8.9,.1,13.6,4.2,3.1,17.3,-.9,-4.2,1.9
India,7.3,5.1,6.6,10.3,8.5,3.9,9.3,3.8,5.5,5.2
China,7.3,7.8,9.5,10.6,9.2,9.6,11.4,8.4,3.9,19.4
Mozambique,7.2,7.2,7.1,6.7,6.4,6.9,8.7,1.7,1.0,
Mali,7.2,.0,2.7,5.8,4.5,5.0,6.1,-3.3,-2.5,6.1
Cambodia,7.1,7.3,7.1,6.0,.1,6.7,13.3,8.8,,
Timor-Leste,7.0,6.4,9.5,9.4,13.0,14.2,6.2,17.5,,
Tanzania,7.0,5.1,7.9,6.4,5.4,5.6,8.2,4.9,7.0,
Rwanda,7.0,8.8,7.9,7.3,6.3,11.2,6.9,8.3,-2.4,6.0
Fiji,6.9,1.6,-3.1,3.0,-1.4,1.0,.7,-1.7,5.8,12.7
Niger,6.9,11.8,2.3,8.4,-.7,9.6,4.5,-1.4,-1.3,3.1
St. Kitts and Nevis,6.9,-1.2,1.7,-3.2,-5.6,4.1,9.3,5.0,4.9,
"Congo, Rep.",6.8,3.8,3.4,8.8,7.5,5.6,7.8,7.6,1.0,6.4
Tajikistan,6.7,7.5,7.4,6.5,3.8,7.9,6.7,8.3,-.6,
Benin,6.5,4.6,3.0,2.1,2.3,4.9,1.7,5.9,9.0,2.1
Maldives,6.5,2.5,8.7,6.0,-5.5,12.5,-8.6,,,
Mauritania,6.4,6.0,4.4,4.8,-1.0,1.1,9.0,-.4,-1.8,12.0
Namibia,6.4,5.1,5.1,6.0,.3,2.6,2.5,3.5,2.0,
Nigeria,6.3,4.3,4.9,7.8,6.9,6.3,3.4,5.3,12.8,25.0
Panama,6.2,10.2,10.8,5.9,4.0,9.1,7.2,2.7,8.1,6.4
Philippines,6.1,6.7,3.7,7.6,1.1,4.2,4.8,4.4,3.0,3.8
Bangladesh,6.1,6.5,6.5,5.6,5.0,6.0,6.5,5.3,5.6,5.6
Djibouti,6.0,4.8,4.5,3.5,5.0,5.8,3.2,.4,,
Zambia,6.0,6.7,6.3,10.3,9.2,7.8,7.2,3.9,-.5,4.8
Malaysia,6.0,5.5,5.3,7.4,-1.5,4.8,5.3,8.9,9.0,6.0
Vietnam,6.0,5.2,6.2,6.4,5.4,5.7,7.5,6.8,5.1,
Cameroon,5.9,4.6,4.1,3.3,1.9,2.9,2.3,4.2,-6.1,3.1
Togo,5.7,5.9,4.9,4.0,3.5,2.2,1.2,-.8,-.2,2.5
Malawi,5.7,1.9,4.3,6.5,9.0,8.3,2.8,1.6,5.7,.5
Grenada,5.7,-1.2,.8,-.5,-6.6,.9,13.3,1.9,5.2,
