,2015,2012,2011,2010,2009,2008,2005,2000,1990,1970
Angola,156.9,172.2,177.3,182.5,187.3,192.0,203.9,216.7,226.0,
Chad,138.7,151.6,156.0,160.1,164.0,168.0,177.0,190.2,214.6,
Somalia,136.8,150.6,155.3,160.2,164.4,168.5,174.3,174.4,180.2,
Central African Republic,130.1,142.1,146.2,150.2,154.2,158.2,166.2,174.8,176.5,222.5
Sierra Leone,120.4,141.6,150.6,160.2,169.9,179.1,203.7,235.8,264.3,334.6
Mali,114.7,127.0,131.7,136.6,142.0,148.3,171.8,219.6,254.4,400.0
Nigeria,108.8,120.9,125.5,130.3,135.5,140.9,158.1,186.8,212.5,284.9
Benin,99.5,107.0,109.3,111.6,113.9,116.3,125.5,144.7,179.5,265.5
"Congo, Dem. Rep.",98.3,108.5,112.2,116.1,120.1,124.5,138.4,161.0,186.5,248.1
Niger,95.5,109.6,116.1,123.6,132.1,141.3,172.7,227.3,328.2,327.0
Equatorial Guinea,94.1,103.7,107.3,110.9,114.6,118.4,131.2,152.1,189.5,
Guinea,93.7,104.0,107.7,111.9,116.3,121.0,136.7,170.2,238.2,327.2
Cote d'Ivoire,92.6,102.5,105.9,109.1,112.7,116.5,128.8,145.6,152.6,241.4
South Sudan,92.6,102.8,106.7,110.9,115.2,120.0,139.3,182.3,253.2,
Guinea-Bissau,92.5,105.2,110.4,115.9,121.6,127.6,146.2,177.5,229.3,
Afghanistan,91.1,99.5,102.3,105.0,107.6,110.4,119.6,137.0,181.0,307.8
Lesotho,90.2,94.1,96.8,100.7,106.5,116.5,123.4,116.8,88.1,175.2
Burkina Faso,88.6,101.4,106.9,113.5,121.4,130.4,158.3,185.7,202.2,319.1
Cameroon,87.9,97.4,101.0,104.8,109.0,112.8,125.1,150.4,138.0,213.0
Mauritania,84.7,92.7,95.4,97.8,100.4,103.0,109.8,113.5,118.1,193.9
Burundi,81.7,91.2,94.9,98.8,103.5,108.6,127.1,152.2,171.8,247.6
Pakistan,81.1,87.8,89.9,91.8,93.7,95.5,101.2,112.3,138.6,188.8
Mozambique,78.5,90.9,97.5,102.8,107.6,113.6,133.8,171.1,239.7,272.6
Togo,78.4,85.8,88.3,90.9,93.6,96.4,105.1,120.8,146.2,224.7
Comoros,73.5,80.9,83.3,86.0,88.5,91.2,97.8,101.1,125.1,227.1
Zimbabwe,70.7,78.5,85.6,89.5,92.9,95.4,101.9,105.8,75.8,114.0
Sudan,70.1,76.3,78.2,80.2,82.4,84.7,91.9,105.9,127.5,154.6
Liberia,69.9,80.3,84.5,89.3,94.7,100.9,124.7,181.8,255.0,286.3
Haiti,69.0,75.2,77.2,208.8,81.2,83.3,90.0,104.8,145.8,245.1
"Gambia, The",68.9,76.1,78.6,81.4,84.3,87.4,97.9,118.8,170.2,302.6
Lao PDR,66.7,74.0,76.7,79.7,82.8,86.2,97.2,117.7,162.4,
Djibouti,65.3,71.7,73.9,76.1,78.5,81.0,88.5,100.8,119.4,
Malawi,64.0,77.3,84.5,90.9,95.4,100.0,116.2,174.4,242.4,347.0
Zambia,64.0,74.4,78.6,82.1,87.4,93.1,111.7,163.1,190.6,181.6
Ghana,61.6,69.2,71.9,74.7,77.4,79.9,86.5,100.7,127.4,201.9
Swaziland,60.7,72.6,79.1,88.4,104.2,113.8,130.2,128.3,74.7,175.8
Ethiopia,59.2,67.7,71.3,75.7,80.8,86.9,109.1,145.1,204.6,241.1
Papua New Guinea,57.3,62.5,64.3,66.1,67.9,69.7,74.2,78.5,89.4,144.4
Kiribati,55.9,60.4,61.7,62.9,63.9,64.5,64.8,70.6,96.0,140.0
Uganda,54.6,64.1,69.8,75.2,80.1,85.9,107.4,148.4,187.1,189.5
Timor-Leste,52.6,58.7,61.1,63.8,66.7,70.2,83.3,110.2,175.7,
Turkmenistan,51.4,56.5,58.2,60.1,61.9,63.9,70.1,81.6,90.5,
Gabon,50.8,57.7,60.6,63.3,66.1,68.9,76.7,85.3,92.9,
Myanmar,50.0,55.3,57.2,59.3,61.4,87.2,70.5,82.3,109.9,179.2
Madagascar,49.6,55.5,57.8,60.3,63.3,66.7,80.6,109.2,160.7,151.9
Kenya,49.4,55.6,58.5,62.1,65.8,70.1,85.5,107.9,102.3,148.3
Tanzania,48.7,55.7,58.9,63.4,68.6,73.7,92.4,130.6,165.2,215.5
India,47.7,54.5,57.2,59.9,62.7,65.6,74.6,91.2,125.8,213.3
Sao Tome and Principe,47.3,52.4,54.4,56.4,58.5,61.0,70.1,89.3,110.7,86.9
Senegal,47.2,55.9,60.0,64.8,70.1,75.8,96.2,134.9,140.4,290.5
Eritrea,46.5,51.6,53.5,55.6,57.9,60.4,69.5,89.1,151.4,
Namibia,45.4,49.9,51.6,53.8,56.7,60.1,71.7,75.7,73.5,96.7
"Congo, Rep.",45.0,52.6,56.1,60.6,66.1,72.6,95.3,121.6,93.6,143.1
Tajikistan,44.8,49.3,50.9,52.6,54.3,56.2,65.2,93.0,108.4,
Botswana,43.6,49.5,51.8,53.5,57.3,61.7,69.0,82.9,54.2,121.0
"Yemen, Rep.",41.9,48.4,51.1,54.2,57.6,61.0,72.6,95.4,126.3,329.3
Rwanda,41.7,52.1,57.7,64.1,70.6,78.3,110.7,183.8,151.8,218.7
South Africa,40.5,47.7,49.8,53.8,63.5,68.4,75.2,75.3,59.9,
Guyana,39.4,41.2,41.4,41.5,41.7,41.9,42.8,46.7,60.4,73.9
Uzbekistan,39.1,43.2,44.6,46.1,47.6,49.2,54.2,63.2,71.5,
Bolivia,38.4,43.1,44.9,47.0,49.3,52.0,61.4,80.2,124.4,231.3
Bangladesh,37.6,44.0,46.7,49.6,52.6,55.9,66.8,88.0,143.7,224.1
Marshall Islands,36.0,38.3,38.8,39.1,39.3,39.5,40.2,41.4,50.3,87.5
Nepal,35.8,40.9,43.1,45.4,48.0,50.7,60.0,80.6,140.7,267.6
"Micronesia, Fed. Sts.",34.7,38.2,39.4,40.7,42.0,43.1,47.4,53.9,55.6,
Bhutan,32.9,37.8,39.9,42.3,45.1,48.1,58.5,79.6,133.7,271.5
Iraq,32.0,34.8,35.7,36.6,37.5,38.3,40.7,44.7,54.1,115.0
Azerbaijan,31.7,35.7,37.3,39.0,41.0,43.3,51.7,74.0,94.7,
Dominican Republic,30.9,32.7,33.3,33.8,34.3,34.9,36.8,41.3,60.2,121.6
Guatemala,29.1,32.1,33.3,34.5,35.7,36.9,41.4,50.6,80.9,174.1
Cambodia,28.7,35.8,39.3,43.1,47.3,51.5,65.4,108.3,117.3,
Solomon Islands,28.1,30.7,31.4,32.1,32.6,33.1,33.2,33.1,39.7,107.2
Philippines,28.0,30.4,31.2,31.9,32.6,33.4,35.7,39.7,58.2,84.0
Morocco,27.6,30.7,31.9,33.1,34.5,35.8,40.4,50.0,80.1,188.7
Vanuatu,27.5,28.6,28.6,28.5,28.4,28.2,27.9,28.5,35.6,108.6
Indonesia,27.2,30.4,31.7,33.1,34.7,36.2,41.4,52.3,84.7,165.6
Tuvalu,27.1,29.8,30.7,31.7,32.6,33.6,36.6,42.6,57.2,
Algeria,25.5,26.1,26.6,27.3,28.3,29.4,33.6,39.7,46.8,241.7
"Korea, Dem. Rep.",24.9,28.7,30.1,31.3,32.1,32.4,32.7,60.0,43.4,
Cabo Verde,24.5,26.6,27.3,27.8,28.1,28.2,27.7,35.5,62.7,164.5
"Egypt, Arab Rep.",24.0,26.8,27.9,29.0,30.2,31.4,35.6,46.5,85.9,242.9
Mongolia,22.4,26.2,28.0,30.0,32.3,34.8,43.4,62.7,107.8,
Fiji,22.4,23.5,23.7,23.9,24.0,24.0,23.7,24.5,29.8,55.3
Nicaragua,22.1,24.4,25.2,26.1,27.1,28.1,31.7,40.3,66.9,171.4
Vietnam,21.7,23.5,24.2,24.8,25.5,26.2,28.5,33.8,50.8,85.7
Ecuador,21.6,23.7,24.5,25.2,26.0,26.8,29.1,34.4,56.9,138.0
Kyrgyz Republic,21.3,25.7,27.8,30.0,32.3,34.4,39.3,48.7,65.0,
Suriname,21.3,23.4,24.1,24.9,25.6,26.4,29.2,34.4,47.6,
Dominica,21.2,20.4,19.6,18.8,17.9,17.1,15.6,15.3,17.1,63.9
West Bank and Gaza,21.1,22.8,23.3,23.8,24.2,24.7,26.3,29.8,44.4,
Paraguay,20.5,22.6,23.3,24.1,24.9,25.7,28.4,33.5,46.5,78.0
Honduras,20.4,22.6,23.5,24.4,25.4,26.5,30.0,37.4,58.2,147.9
Trinidad and Tobago,20.4,22.2,22.9,23.6,24.3,24.9,26.9,28.7,30.5,51.6
St. Vincent and the Grenadines,18.3,19.8,20.3,20.8,21.1,21.4,21.8,22.2,24.5,80.4
Jordan,17.9,19.6,20.2,20.8,21.5,22.1,24.1,27.7,36.6,90.1
Samoa,17.5,18.5,18.6,18.7,24.1,18.8,19.3,21.7,31.0,
Panama,17.0,18.7,19.2,19.8,20.5,21.0,22.9,26.0,30.9,67.7
Peru,16.9,19.1,20.0,21.0,22.1,23.2,27.4,38.6,79.7,163.8
El Salvador,16.8,18.6,19.3,20.0,20.8,21.6,24.8,32.4,59.4,155.1
Tonga,16.7,17.5,17.5,17.4,17.2,17.0,16.7,17.6,21.9,50.2
Belize,16.5,18.0,18.5,19.0,19.5,20.1,21.7,25.0,39.6,97.3
Palau,16.4,18.2,18.8,19.4,20.1,20.7,22.9,26.8,36.1,
Brazil,16.4,16.0,16.2,16.6,17.2,18.1,21.9,32.0,60.8,133.5
Colombia,15.9,17.4,18.0,18.5,19.1,19.7,21.5,25.1,35.1,97.6
Moldova,15.8,16.7,16.9,17.2,17.4,17.7,19.7,31.3,33.1,
Jamaica,15.7,17.2,17.6,18.1,18.5,18.9,19.7,22.0,30.6,57.8
