Country,2012,2011,2010,2009,2008,2005,2000,ID
Georgia,39.79,41.78,42.84,40.88,40.48,41.67,46.15,1
El Salvador,17.91,19.4,21.3,20.92,21.9,23.24,28.56,2
Colombia,18.57,18.17,20.46,22.6,24.32,25.54,38.86,3
Dominican Republic,17.2,17.16,18.12,18.16,19.9,22.42,17.95,4
Ecuador,14.9,15.82,18.12,20.62,20.57,25.44,42.21,5
Paraguay,13.01,15.82,17.21,18.46,18.93,21,,6
Peru,12.61,13.81,14.23,16.21,18.4,26.36,29.93,7
Panama,11.97,12.1,13.58,13.63,14.88,22.26,25.55,8
Mexico,10.51,,11.38,,12.46,16.68,22.04,9
Costa Rica,6.37,6.76,6.52,9.43,9.14,12.6,16.44,10
Uruguay,3.98,4.26,5.12,5.74,6.64,10.82,5.44,11
Bolivia,17.71,17.09,,21.59,24.01,34.15,41.76,12
