Country,2012,2011,2010,2009,2008,2005,2000,ID
Uruguay,0.09,0.08,0.07,0.07,0.05,0.26,0.15,1
Bolivia,4.2,3.12,,5.56,5.28,9.78,17.76,2
Costa Rica,0.58,0.56,0.64,1.73,1.42,1.76,2.83,3
Colombia,2.33,2.02,2.32,3.07,3.64,2.87,11.46,4
Peru,0.78,0.77,0.73,1,1.35,2.32,4.6,5
Mexico,0.23,,0.16,,0.34,2.04,1.47,6
Panama,1.28,1.14,1.14,0.8,1.31,3.68,9.07,7
Georgia,4.53,5.61,5.76,4.66,4.45,4.86,6.42,8
Ecuador,1.8,1.94,2.07,2.7,2.97,4.15,8.18,9
Paraguay,0.96,1.7,1.82,1.91,1.39,2.21,,10
Dominican Republic,0.6,0.63,0.52,0.74,0.85,1.56,1.69,11
El Salvador,0.56,0.59,1.64,1.06,1.3,2.61,7.73,12
