,2012,2011,2010,2009,2008,2005,2000,1990
Madagascar,,,48.55,,,40.37,,
Zambia,,,41.78,,,,,
Malawi,,,34.25,,,,,
Lesotho,,,29.17,,,,,
Nigeria,,,27.46,,,,,
Mali,,,16.45,,,,,
Sao Tome and Principe,,,13.94,,,,7.87,
Bangladesh,,,11.17,,,14.17,18.61,
Ethiopia,,,10.39,,,9.60,,
Georgia,4.53,5.61,5.76,4.66,4.45,4.86,6.42,
Nepal,,,5.21,,,,,
Honduras,,7.21,4.77,4.24,5.67,13.02,,22.40
Indonesia,,2.68,3.28,,4.73,4.59,,15.62
Colombia,2.33,2.02,2.32,3.07,3.64,2.87,11.46,
Ecuador,1.80,1.94,2.07,2.70,2.97,4.15,8.18,
China,,1.32,2.03,,3.07,3.91,,20.96
Pakistan,,,1.94,,,4.06,,23.23
Paraguay,.96,1.70,1.82,1.91,1.39,2.21,,.27
Cambodia,,1.43,1.70,2.08,4.39,,,
El Salvador,.56,.59,1.64,1.06,1.30,2.61,7.73,
Kyrgyz Republic,,1.18,1.40,1.46,1.39,5.90,9.64,
Latvia,,.95,1.28,,0.00,,,
Lithuania,,.81,1.26,,.02,.85,.01,
Panama,1.28,1.14,1.14,.80,1.31,3.68,9.07,
Estonia,,1.18,1.02,.65,.41,.93,.12,
Argentina,,.78,.89,1.38,1.31,2.04,2.73,
Vietnam,.55,,.84,,3.74,,,
Peru,.78,.77,.73,1.00,1.35,2.32,4.60,
Costa Rica,.58,.56,.64,1.73,1.42,1.76,2.83,4.78
Bulgaria,,.81,.55,,.32,,,
Dominican Republic,.60,.63,.52,.74,.85,1.56,1.69,
Armenia,.31,.40,.38,.25,.31,.87,,
Tunisia,,,.20,,,.33,.46,1.37
Mexico,.23,,.16,,.34,2.04,1.47,
Slovak Republic,,.19,.16,0.00,0.00,0.00,,
Moldova,,.03,.09,.11,.21,2.91,,
Hungary,,.05,.08,,.03,0.00,0.00,
Uruguay,.09,.08,.07,.07,.05,.26,.15,
Turkey,,0.00,.05,.02,0.00,.19,,
Thailand,,,.04,,.04,,.50,2.36
Jordan,,,.02,,.01,,,
Czech Republic,,.06,.01,.09,.04,0.00,,
Kazakhstan,,,.01,,0.00,0.00,,
Belarus,,0.00,0.00,0.00,0.00,0.00,.08,
Montenegro,,.08,0.00,0.00,.04,.06,,
Poland,,0.00,0.00,0.00,0.00,.01,.01,
Romania,0.00,0.00,0.00,0.00,0.00,0.00,,
Serbia,,,0.00,0.00,.02,.17,,
Ukraine,,,0.00,.04,0.00,0.00,,
Albania,.10,,,,.03,.08,,
Angola,,,,,16.45,,29.94,
Azerbaijan,,,,,.12,0.00,,
Benin,,18.82,,,,,,
Bhutan,.37,,,,,,,
Bolivia,4.20,3.12,,5.56,5.28,9.78,17.76,.67
Botswana,,,,3.95,,,,
Brazil,2.14,2.51,,2.40,2.41,3.00,,6.23
Burkina Faso,,,,14.59,,,,
Central African Republic,,,,,31.26,,,
Chad,,14.18,,,,,,
Chile,,.38,,.66,,,.85,1.88
"Congo, Dem. Rep.",,,,,,52.76,,
"Congo, Rep.",,11.47,,,,22.82,,
Cote d'Ivoire,,,,,12.68,,,
Croatia,,,,,0.00,,.06,
"Egypt, Arab Rep.",,,,,.37,,.32,.60
Fiji,,,,,1.14,,,
Gabon,,,,,,1.25,,
Ghana,,,,,,9.88,,
Guatemala,,4.78,,,,,4.54,
Guinea,12.70,,,,,,,
India,,4.84,,7.49,,,,
"Iran, Islamic Rep.",,,,,,.34,,.97
Iraq,.64,,,,,,,
Jamaica,,,,,,,,.10
Kenya,,,,,,16.91,,
Lao PDR,7.66,,,,,,,
"Macedonia, FYR",,,,,.04,.04,.89,
Malaysia,,,,0.00,,,,
Mauritania,,,,,6.79,,5.66,
"Micronesia, Fed. Sts.",,,,,,,16.32,
Morocco,,,,,,,,.35
Mozambique,,,,25.84,,,,
Namibia,,,,5.74,,,,
Nicaragua,,,,2.93,,.35,,
Niger,,10.42,,,,20.49,,
Philippines,4.02,,,3.62,,,6.34,
Russian Federation,,,,.01,0.00,.04,,
Rwanda,,26.53,,,,,41.78,
Senegal,,11.08,,,,10.80,,
Sierra Leone,,19.24,,,,,,
South Africa,,1.19,,2.27,,,8.18,
Sri Lanka,,,,.65,,,,2.71
Sudan,,,,5.46,,,,
Swaziland,,,,15.22,,,14.86,
Tajikistan,,,,1.27,,,,
Tanzania,12.98,,,,,,41.23,
Togo,,22.52,,,,,,
Uganda,11.96,,,12.17,,19.22,,
"Venezuela, RB",,,,,,7.96,,
West Bank and Gaza,,,,.01,,,,
"Yemen, Rep.",,,,,,1.87,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
